i,y
e n',en'
o n',on'-
o n',on'
i n',yn'-
i n',yn'
ei n',en'-
ei n',en'
oa n',an'-
oa n',an'
a r,ar-
a r,ar
i r,yr-
i r,yr
u r,ur-
u r,ur
e r,er-
e r,er
o r,or-
o r,or
'i r,ir-
'i r,ir
ei r,er-
ei r,er
oa r,ar-
oa r,ar
a r',ar'-
a r',ar'
'i r',ir'-
'i r',ir'
u r',ur'-
u r',ur'
e r',er'-
e r',er'
o r',or'-
o r',or'
i r',yr'-
i r',yr'
ei r',er'-
ei r',er'
oa r',ar'-
oa r',ar'
a h,ah-
a h,ah
i h,yh-
i h,yh
u h,uh-
u h,uh
e h,eh-
e h,eh
o h,oh-
o h,oh
'i h,ih-
'i h,ih
ei h,eh-
ei h,eh
oa h,ah-
oa h,ah
a h',ah'-
a h',ah'
'i h',ih'-
'i h',ih'
u h',uh'-
u h',uh'
e h',eh'-
e h',eh'
o h',oh'-
o h',oh'
i h',yh'-
i h',yh'
ei h',eh'-
ei h',eh'
oa h',ah'-
oa h',ah'
a sh,aw-
a sh,aw
i sh,yw-
i sh,yw
u sh,uw-
u sh,uw
e sh,ew-
e sh,ew
o sh,ow-
o sh,ow
'i sh,iw-
'i sh,iw
ei sh,ew-
ei sh,ew
oa sh,aw-
oa sh,aw
a sh',aw'-
a sh',aw'
'i sh',iw'-
'i sh',iw'
u sh',uw'-
u sh',uw'
e sh',ew'-
e sh',ew'
o sh',ow'-
o sh',ow'
i sh',yw'-
i sh',yw'
ei sh',ew'-
ei sh',ew'
oa sh',aw'-
oa sh',aw'
a zh,aj-
a zh,aj
i zh,yj-
i zh,yj
u zh,uj-
u zh,uj
e zh,ej-
e zh,ej
o zh,oj-
o zh,oj
e zh,ej-
e zh,ej
'i zh,ij-
'i zh,ij
ei zh,ej-
ei zh,ej
oa zh,aj-
oa zh,aj
a ts,ac-
a ts,ac
i ts,yc-
i ts,yc
u ts,uc-
u ts,uc
e ts,ec-
e ts,ec
o ts,oc-
o ts,oc
'i ts,ic-
'i ts,ic
ei ts,ec-
ei ts,ec
oa ts,ac-
oa ts,ac
a y,a~-
a y,a~
'i y,i~-
'i y,i~
u y,u~-
u y,u~
e y,e~-
e y,e~
o y,o~-
o y,o~
i y,y~-
i y,y~
ei y,e~-
ei y,e~
oa y,a~-
oa y,a~
a ch,a4'-
a ch,a4'
'i ch,i4'-
'i ch,i4'
u ch,u4'-
u ch,u4'
e ch,e4'-
e ch,e4'
o ch,o4'-
o ch,o4'
i ch,y4'-
i ch,y4'
ei ch,e4'-
ei ch,e4'
oa ch,a4'-
oa ch,a4'
- k~,-k~
- k'~,-k'~
- g~,-g~
- g'~,-g'~
- s~,-s~
- s'~,-s'~
- z~,-z~
- z'~,-z'~
- t~,-t~
- t'~,-t'~
- d~,-d~
- d'~,-d'~
- f~,-f~
- f'~,-f'~
- v~,-v~
- v'~,-v'~
- p~,-p~
- p'~,-p'~
- b~,-b~
- b'~,-b'~
- l~,-l~
- l'~,-l'~
- m~,-m~
- m'~,-m'~
- n~,-n~
- n'~,-n'~
- r~,-r~
- r'~,-r'~
- h~,-h~
- h'~,-h'~
- sh~,-w~
- sh'~,-w'~
- zh~,-j~
- ts~,-c~
- y~,-~~
- ch~,-4'~
sh~,w~
sh'~,w'~
zh~,j~
ts~,c~
y~,~~
ch~,4'~
ki,ky
kei,ke
koa,ka
k'ei,k'e
k'oa,k'a
gi,gy
gei,ge
goa,ga
g'ei,g'e
g'oa,g'a
si,sy
sei,se
soa,sa
s'ei,s'e
s'oa,s'a
zi,zy
zei,ze
zoa,za
z'ei,z'e
z'oa,z'a
ti,ty
tei,te
toa,ta
t'ei,t'e
t'oa,t'a
di,dy
dei,de
doa,da
d'ei,d'e
d'oa,d'a
fi,fy
fei,fe
foa,fa
f'ei,f'e
f'oa,f'a
vi,vy
vei,ve
voa,va
v'ei,v'e
v'oa,v'a
pi,py
pei,pe
poa,pa
p'ei,p'e
p'oa,p'a
bi,by
bei,be
boa,ba
b'ei,b'e
b'oa,b'a
li,ly
lei,le
loa,la
l'ei,l'e
l'oa,l'a
mi,my
mei,me
moa,ma
m'ei,m'e
m'oa,m'a
ni,ny
nei,ne
noa,na
n'ei,n'e
n'oa,n'a
ri,ry
rei,re
roa,ra
r'ei,r'e
r'oa,r'a
hi,hy
hei,he
hoa,ha
h'ei,h'e
h'oa,h'a
sha,wa
shi,wy
shu,wu
she,we
sho,wo
shei,we
shoa,wa
sh'a,w'a
sh'i,w'i
sh'u,w'u
sh'e,w'e
sh'o,w'o
sh'ei,w'e
sh'oa,w'a
zha,ja
zhi,jy
zhu,ju
zhe,je
zho,jo
zhei,je
zhoa,ja
tsa,ca
tsi,cy
tsu,cu
tse,ce
tso,co
tsei,ce
tsoa,ca
ya,~a
yi,~y
yu,~u
ye,~e
yo,~o
yei,~e
yoa,~a
cha,4'a
chi,4'y
chu,4'u
che,4'e
cho,4'o
chei,4'e
choa,4'a
a k~,ak~
i k~,yk~
u k~,uk~
e k~,ek~
o k~,ok~
'i k~,'ik~
ei k~,ek~
oa k~,ak~
a k'~,ak'~
'i k'~,'ik'~
u k'~,uk'~
e k'~,ek'~
o k'~,ok'~
i k'~,yk'~
ei k'~,ek'~
oa k'~,ak'~
a g~,ag~
i g~,yg~
u g~,ug~
e g~,eg~
o g~,og~
'i g~,'ig~
ei g~,eg~
oa g~,ag~
a g'~,ag'~
'i g'~,'ig'~
u g'~,ug'~
e g'~,eg'~
o g'~,og'~
i g'~,yg'~
ei g'~,eg'~
oa g'~,ag'~
a s~,as~
i s~,ys~
u s~,us~
e s~,es~
o s~,os~
'i s~,'is~
ei s~,es~
oa s~,as~
a s'~,as'~
'i s'~,'is'~
u s'~,us'~
e s'~,es'~
o s'~,os'~
i s'~,ys'~
ei s'~,es'~
oa s'~,as'~
a z~,az~
i z~,yz~
u z~,uz~
e z~,ez~
o z~,oz~
'i z~,'iz~
ei z~,ez~
oa z~,az~
a z'~,az'~
'i z'~,'iz'~
u z'~,uz'~
e z'~,ez'~
o z'~,oz'~
i z'~,yz'~
ei z'~,ez'~
oa z'~,az'~
a t~,at~
i t~,yt~
u t~,ut~
e t~,et~
o t~,ot~
'i t~,'it~
ei t~,et~
oa t~,at~
a t'~,at'~
'i t'~,'it'~
u t'~,ut'~
e t'~,et'~
o t'~,ot'~
i t'~,yt'~
ei t'~,et'~
oa t'~,at'~
a d~,ad~
i d~,yd~
u d~,ud~
e d~,ed~
o d~,od~
'i d~,'id~
ei d~,ed~
oa d~,ad~
a d'~,ad'~
'i d'~,'id'~
u d'~,ud'~
e d'~,ed'~
o d'~,od'~
i d'~,yd'~
ei d'~,ed'~
oa d'~,ad'~
a f~,af~
i f~,yf~
u f~,uf~
e f~,ef~
o f~,of~
'i f~,'if~
ei f~,ef~
oa f~,af~
a f'~,af'~
'i f'~,'if'~
u f'~,uf'~
e f'~,ef'~
o f'~,of'~
i f'~,yf'~
ei f'~,ef'~
oa f'~,af'~
a v~,av~
i v~,yv~
u v~,uv~
e v~,ev~
o v~,ov~
'i v~,'iv~
ei v~,ev~
oa v~,av~
a v'~,av'~
'i v'~,'iv'~
u v'~,uv'~
e v'~,ev'~
o v'~,ov'~
i v'~,yv'~
ei v'~,ev'~
oa v'~,av'~
a p~,ap~
i p~,yp~
u p~,up~
e p~,ep~
o p~,op~
'i p~,'ip~
ei p~,ep~
oa p~,ap~
a p'~,ap'~
'i p'~,'ip'~
u p'~,up'~
e p'~,ep'~
o p'~,op'~
i p'~,yp'~
ei p'~,ep'~
oa p'~,ap'~
a b~,ab~
i b~,yb~
u b~,ub~
e b~,eb~
o b~,ob~
'i b~,'ib~
ei b~,eb~
oa b~,ab~
a b'~,ab'~
'i b'~,'ib'~
u b'~,ub'~
e b'~,eb'~
o b'~,ob'~
i b'~,yb'~
ei b'~,eb'~
oa b'~,ab'~
a l~,al~
i l~,yl~
u l~,ul~
e l~,el~
o l~,ol~
'i l~,'il~
ei l~,el~
oa l~,al~
a l'~,al'~
'i l'~,'il'~
u l'~,ul'~
e l'~,el'~
o l'~,ol'~
i l'~,yl'~
ei l'~,el'~
oa l'~,al'~
a m~,am~
i m~,ym~
u m~,um~
e m~,em~
o m~,om~
'i m~,'im~
ei m~,em~
oa m~,am~
a m'~,am'~
'i m'~,'im'~
u m'~,um'~
e m'~,em'~
o m'~,om'~
i m'~,ym'~
ei m'~,em'~
oa m'~,am'~
a n~,an~
i n~,yn~
u n~,un~
e n~,en~
o n~,on~
'i n~,'in~
ei n~,en~
oa n~,an~
a n'~,an'~
'i n'~,'in'~
u n'~,un'~
e n'~,en'~
o n'~,on'~
i n'~,yn'~
ei n'~,en'~
oa n'~,an'~
a r~,ar~
i r~,yr~
u r~,ur~
e r~,er~
o r~,or~
'i r~,'ir~
ei r~,er~
oa r~,ar~
a r'~,ar'~
'i r'~,'ir'~
u r'~,ur'~
e r'~,er'~
o r'~,or'~
i r'~,yr'~
ei r'~,er'~
oa r'~,ar'~
a h~,ah~
i h~,yh~
u h~,uh~
e h~,eh~
o h~,oh~
'i h~,'ih~
ei h~,eh~
oa h~,ah~
a h'~,ah'~
'i h'~,'ih'~
u h'~,uh'~
e h'~,eh'~
o h'~,oh'~
i h'~,yh'~
ei h'~,eh'~
oa h'~,ah'~
a sh~,aw~
i sh~,yw~
u sh~,uw~
e sh~,ew~
o sh~,ow~
'i sh~,'iw~
ei sh~,ew~
oa sh~,aw~
a sh'~,aw'~
'i sh'~,'iw'~
u sh'~,uw'~
e sh'~,ew'~
o sh'~,ow'~
i sh'~,yw'~
ei sh'~,ew'~
oa sh'~,aw'~
a zh~,aj~
i zh~,yj~
u zh~,uj~
e zh~,ej~
o zh~,oj~
e zh~,ej~
'i zh~,'ij~
ei zh~,ej~
oa zh~,aj~
a ts~,ac~
i ts~,yc~
u ts~,uc~
e ts~,ec~
o ts~,oc~
'i ts~,'ic~
ei ts~,ec~
oa ts~,ac~
a y~,a~~
'i y~,'i~~
u y~,u~~
e y~,e~~
o y~,o~~
i y~,y~~
ei y~,e~~
oa y~,a~~
a ch~,a4'~
'i ch~,'i4'~
u ch~,u4'~
e ch~,e4'~
o ch~,o4'~
i ch~,y4'~
ei ch~,e4'~
oa ch~,a4'~
a oa,a
oa a,a
a i,y
i e,e
e i,y
i a,a
a a,a
i oa,a
oa i,y
i u,u
u o,o
o u,u
u i,y
i i,y
u oa,a
oa u,u
u e,e
e a,a
a e,e
e u,u
u u,u
e ei,e
ei e,e
e o,o
o i,y
i u,u
u e,e
e e,e
o ei,e
ei o,o
o a,a
a u,u
u a,a
a o,o
o o,o
'i ei,e
ei 'i,'i
'i a,a
a 'i,'i
'i i,y
i 'i,'i
'i e,e
'i oa,a
oa 'i,'i
'i o,o
o 'i,'i
'i u,u
u 'i,'i
'i 'i,'i
ei ei,e
ei a,a
a ei,e
ei i,y
i ei,e
ei u,u
u ei,e
oa oa,a
oa e,e
e oa,a
oa o,o
o oa,a
oa ei,e
ei oa,a
e 'i,'i
k~ R,k~-
k'~ R,k'~-
g~ R,g~-
g'~ R,g'~-
s~ R,s~-
s'~ R,s'~-
z~ R,z~-
z'~ R,z'~-
t~ R,t~-
t'~ R,t'~-
d~ R,d~-
d'~ R,d'~-
f~ R,f~-
f'~ R,f'~-
v~ R,v~-
v'~ R,v'~-
p~ R,p~-
p'~ R,p'~-
b~ R,b~-
b'~ R,b'~-
l~ R,l~-
l'~ R,l'~-
m~ R,m~-
m'~ R,m'~-
n~ R,n~-
n'~ R,n'~-
r~ R,r~-
r'~ R,r'~-
h~ R,h~-
h'~ R,h'~-
sh~ R,w~-
sh'~ R,w'~-
zh~ R,j~-
ts~ R,c~-
y~ R,~~-
ch~ R,4'~-
a koa,ka
oa ka,ka
a ki,ky
i ke,ke
e ki,ky
i ka,ka
a ka,ka
i koa,ka
oa ki,ky
i ku,ku
u ko,ko
o ku,ku
u ki,ky
i ki,ky
u koa,ka
oa ku,ku
u ke,ke
e ka,ka
a ke,ke
e ku,ku
u ku,ku
e kei,ke
ei ke,ke
e ko,ko
o ki,ky
i ku,ku
u ke,ke
e ke,ke
o kei,ke
ei ko,ko
o ka,ka
a ku,ku
u ka,ka
a ko,ko
o ko,ko
'i kei,ke
'i ka,ka
'i ki,ky
'i ke,ke
'i koa,ka
'i ko,ko
'i ku,ku
ei kei,ke
ei ka,ka
a kei,ke
ei ki,ky
i kei,ke
ei ku,ku
u kei,ke
oa koa,ka
oa ke,ke
e koa,ka
oa ko,ko
o koa,ka
oa kei,ke
ei koa,ka
a k'oa,k'a
oa k'a,k'a
a k'i,k'i
'i k'e,k'e
e k'i,k'i
'i k'a,k'a
a k'a,k'a
'i k'oa,k'a
oa k'i,k'i
'i k'u,k'u
u k'o,k'o
o k'u,k'u
u k'i,k'i
'i k'i,k'i
u k'oa,k'a
oa k'u,k'u
u k'e,k'e
e k'a,k'a
a k'e,k'e
e k'u,k'u
u k'u,k'u
e k'ei,k'e
ei k'e,k'e
e k'o,k'o
o k'i,k'i
'i k'u,k'u
u k'e,k'e
e k'e,k'e
o k'ei,k'e
ei k'o,k'o
o k'a,k'a
a k'u,k'u
u k'a,k'a
a k'o,k'o
o k'o,k'o
i k'ei,k'e
i k'a,k'a
i k'i,k'i
i k'e,k'e
i k'oa,k'a
i k'o,k'o
i k'u,k'u
ei k'ei,k'e
ei k'a,k'a
a k'ei,k'e
ei k'i,k'i
'i k'ei,k'e
ei k'u,k'u
u k'ei,k'e
oa k'oa,k'a
oa k'e,k'e
e k'oa,k'a
oa k'o,k'o
o k'oa,k'a
oa k'ei,k'e
ei k'oa,k'a
a goa,ga
oa ga,ga
a gi,gy
i ge,ge
e gi,gy
i ga,ga
