i,y
a ga,ga
i goa,ga
oa gi,gy
i gu,gu
u go,go
o gu,gu
u gi,gy
i gi,gy
u goa,ga
oa gu,gu
u ge,ge
e ga,ga
a ge,ge
e gu,gu
u gu,gu
e gei,ge
ei ge,ge
e go,go
o gi,gy
i gu,gu
u ge,ge
e ge,ge
o gei,ge
ei go,go
o ga,ga
a gu,gu
u ga,ga
a go,go
o go,go
'i gei,ge
'i ga,ga
'i gi,gy
'i ge,ge
'i goa,ga
'i go,go
'i gu,gu
ei gei,ge
ei ga,ga
a gei,ge
ei gi,gy
i gei,ge
ei gu,gu
u gei,ge
oa goa,ga
oa ge,ge
e goa,ga
oa go,go
o goa,ga
oa gei,ge
ei goa,ga
a g'oa,g'a
oa g'a,g'a
a g'i,g'i
'i g'e,g'e
e g'i,g'i
'i g'a,g'a
a g'a,g'a
'i g'oa,g'a
oa g'i,g'i
'i g'u,g'u
u g'o,g'o
o g'u,g'u
u g'i,g'i
'i g'i,g'i
u g'oa,g'a
oa g'u,g'u
u g'e,g'e
e g'a,g'a
a g'e,g'e
e g'u,g'u
u g'u,g'u
e g'ei,g'e
ei g'e,g'e
e g'o,g'o
o g'i,g'i
'i g'u,g'u
u g'e,g'e
e g'e,g'e
o g'ei,g'e
ei g'o,g'o
o g'a,g'a
a g'u,g'u
u g'a,g'a
a g'o,g'o
o g'o,g'o
i g'ei,g'e
i g'a,g'a
i g'i,g'i
i g'e,g'e
i g'oa,g'a
i g'o,g'o
i g'u,g'u
ei g'ei,g'e
ei g'a,g'a
a g'ei,g'e
ei g'i,g'i
'i g'ei,g'e
ei g'u,g'u
u g'ei,g'e
oa g'oa,g'a
oa g'e,g'e
e g'oa,g'a
oa g'o,g'o
o g'oa,g'a
oa g'ei,g'e
ei g'oa,g'a
a soa,sa
oa sa,sa
a si,sy
i se,se
e si,sy
i sa,sa
a sa,sa
i soa,sa
oa si,sy
i su,su
u so,so
o su,su
u si,sy
i si,sy
u soa,sa
oa su,su
u se,se
e sa,sa
a se,se
e su,su
u su,su
e sei,se
ei se,se
e so,so
o si,sy
i su,su
u se,se
e se,se
o sei,se
ei so,so
o sa,sa
a su,su
u sa,sa
a so,so
o so,so
'i sei,se
'i sa,sa
'i si,sy
'i se,se
'i soa,sa
